"","X","SpecCode","Brack","Saltwater","DemersPelag","Species","Genus","Subfamily","Family","Order","Class","SuperClass","c_m","eps_m"
"127",127,65558,1,1,"demersal","Acanthopagrus vagus","Acanthopagrus",NA,"Sparidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA
"128",128,67665,0,1,"benthopelagic","Acanthoplesiops cappuccino","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"129",129,58053,0,1,"pelagic","Acanthoplesiops echinatus","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"130",130,17444,0,1,"benthopelagic","Acanthoplesiops hiatti","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"131",131,8004,0,1,"demersal","Acanthoplesiops indicus","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"132",132,69338,0,1,"demersal","Acanthoplesiops jessicae","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"133",133,65019,0,1,"pelagic","Acanthoplesiops naka","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"134",134,59172,0,1,"demersal","Acanthoplesiops psilogaster","Acanthoplesiops","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"135",135,8836,0,1,"demersal","Acanthopsetta nadeshnyi","Acanthopsetta","Pleuronectinae","Pleuronectidae","Pleuronectiformes","Teleostei","Osteichthyes",NA,NA
"136",136,25311,0,1,"demersal","Acanthosphex leurynnis","Acanthosphex",NA,"Aploactinidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA
"137",137,23363,0,1,"demersal","Acanthostracion guineense","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"138",138,23370,0,1,"demersal","Acanthostracion notacanthus","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"139",139,4287,0,1,"benthopelagic","Acanthostracion polygonium","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"140",140,92,0,1,"benthopelagic","Acanthostracion quadricornis","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
"141",141,4306,0,1,"benthopelagic","Acanthurus achilles","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"142",142,68166,0,1,"benthopelagic","Acanthurus albimento","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"143",143,13770,0,1,"benthopelagic","Acanthurus albipectoralis","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"144",144,4748,0,1,"benthopelagic","Acanthurus auranticavus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"145",145,68792,0,1,"benthopelagic","Acanthurus bahianus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"146",146,4307,0,1,"benthopelagic","Acanthurus bariene","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"147",147,4750,0,1,"benthopelagic","Acanthurus blochii","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"148",148,943,0,1,"benthopelagic","Acanthurus chirurgus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"149",149,6010,0,1,"benthopelagic","Acanthurus chronixis","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"150",150,944,0,1,"benthopelagic","Acanthurus coeruleus","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"151",151,1256,0,1,"benthopelagic","Acanthurus dussumieri","Acanthurus","Acanthurinae","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes",NA,NA
"152",152,60866,0,1,"benthopelagic","Aioliops tetrophthalmus","Aioliops","Ptereleotrinae","Microdesmidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"153",153,7093,0,1,"demersal","Akarotaxis nudiceps","Akarotaxis","Bathydraconinae","Bathydraconidae","Perciformes","Teleostei","Osteichthyes",NA,NA
"154",154,69495,0,1,"pelagic","Akheilos suwartanai","Akheilos","Schroederichthyinae","Scyliorhinidae","Carcharhiniformes","Elasmobranchii","Chondrichthyes",NA,NA
"155",155,54387,0,1,"demersal","Akko brevis","Akko","Gobiinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA
"156",156,59851,0,1,"benthopelagic","Altrichthys curatus","Altrichthys","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA
"157",157,4273,0,1,"demersal","Aluterus heudelotii","Aluterus",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA
