"","SpecCode","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass"
"118",67665,"Acanthoplesiops","Acanthoclininae",0,1,"benthopelagic","Acanthoplesiops cappuccino","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes"
"119",58053,"Acanthoplesiops","Acanthoclininae",0,1,"pelagic","Acanthoplesiops echinatus","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes"
"120",17444,"Acanthoplesiops","Acanthoclininae",0,1,"benthopelagic","Acanthoplesiops hiatti","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes"
"121",8004,"Acanthoplesiops","Acanthoclininae",0,1,"demersal","Acanthoplesiops indicus","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes"
"122",69338,"Acanthoplesiops","Acanthoclininae",0,1,"demersal","Acanthoplesiops jessicae","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes"
"123",65019,"Acanthoplesiops","Acanthoclininae",0,1,"pelagic","Acanthoplesiops naka","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes"
"124",59172,"Acanthoplesiops","Acanthoclininae",0,1,"demersal","Acanthoplesiops psilogaster","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes"
"125",8836,"Acanthopsetta","Pleuronectinae",0,1,"demersal","Acanthopsetta nadeshnyi","Pleuronectidae","Pleuronectiformes","Teleostei","Osteichthyes"
"126",25311,"Acanthosphex",NA,0,1,"demersal","Acanthosphex leurynnis","Aploactinidae","Perciformes","Teleostei","Osteichthyes"
"127",23363,"Acanthostracion",NA,0,1,"demersal","Acanthostracion guineense","Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes"
"128",23370,"Acanthostracion",NA,0,1,"demersal","Acanthostracion notacanthus","Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes"
"129",4287,"Acanthostracion",NA,0,1,"benthopelagic","Acanthostracion polygonium","Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes"
"130",92,"Acanthostracion",NA,0,1,"benthopelagic","Acanthostracion quadricornis","Ostraciidae","Tetraodontiformes","Teleostei","Osteichthyes"
"131",4306,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus achilles","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"132",68166,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus albimento","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"133",13770,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus albipectoralis","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"134",4748,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus auranticavus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"135",68792,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus bahianus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"136",4307,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus bariene","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
