"","Ref","OxygenCons","Weight","Temperature","SpecCode","MetabolicLevel","AppliedStress","OxygenRefNo","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass"
"90","fishbase",3.8477,0.0353,30,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"91","fishbase",3.9889,0.0353,30,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"92","fishbase",6.0716,0.0353,30,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"93","fishbase",2.25526,0.0362,16,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"94","fishbase",3.12406,0.0362,19,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"95","fishbase",10.1269,0.0391,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"96","fishbase",8.4348,0.0396,25.3,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"97","fishbase",11.4114,0.0399,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"98","fishbase",5.075,0.0406,22,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"99","fishbase",8.7768,0.0414,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"100","fishbase",10.032,0.0418,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"101","fishbase",6.541,0.0422,25,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"102","fishbase",9.0915,0.0435,28,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"103","fishbase",2.38656,0.0452,16,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"104","fishbase",3.358,0.046,19,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
"105","fishbase",12.462,0.0465,32,3,"routine","none specified",2120,"Oreochromis","Pseudocrenilabrinae",1,0,"benthopelagic","Oreochromis mossambicus","Cichlidae","Cichliformes","Teleostei","Osteichthyes"
